Name,Unit,Default,Description
P_recipeFeature,,0,"Used to distinguish different recipes, e.g. different product types"
P_recipeFeatureRFDD,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of RFDD"
P_recipeFeatureRFH,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of RFH"
P_recipeFeatureRFL,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of RFL"
P_recipeFeatureRR,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of RR"
P_recipeFeatureRRDD,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of RRDD"
P_recipeFeatureTFB,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of TFB"
P_recipeFeatureTRB,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of TRB"
P_recipeFeatureTRBH,,0,"Used to distinguish different recipes, e.g. different product types Used to distinguish different recipes, e.g. different product types of TRBH"
algorithmType,,0,Algorithm type id of the first non hardware blob in the flaw
algorithmTypeRFDD,,0,Algorithm type id of the first non hardware blob in the flaw of RFDD
algorithmTypeRFDD_E,,0,Algorithm type id of the first non hardware blob in the flaw of RFDD_E
algorithmTypeRFH,,0,Algorithm type id of the first non hardware blob in the flaw of RFH
algorithmTypeRFL,,0,Algorithm type id of the first non hardware blob in the flaw of RFL
algorithmTypeRR,,0,Algorithm type id of the first non hardware blob in the flaw of RR
algorithmTypeRRDD,,0,Algorithm type id of the first non hardware blob in the flaw of RRDD
algorithmTypeTFB,,0,Algorithm type id of the first non hardware blob in the flaw of TFB
algorithmTypeTRB,,0,Algorithm type id of the first non hardware blob in the flaw of TRB
algorithmTypeTRBH,,0,Algorithm type id of the first non hardware blob in the flaw of TRBH
areaFiltBrightRFDD,mm²,0,Area of Filtered Bright of RFDD.
areaFiltBrightRFDD_E,mm²,0,Area of Filtered Bright of RFDD_E.
areaFiltBrightRFH,mm²,0,Area of Filtered Bright of RFH.
areaFiltBrightRFL,mm²,0,Area of Filtered Bright of RFL.
areaFiltBrightTFB,mm²,0,Area of Filtered Bright of TFB.
areaFiltDarkRFDD,mm²,0,Area of Filtered Dark of RFDD.
areaFiltDarkRFDD_E,mm²,0,Area of Filtered Dark of RFDD_E.
areaFiltDarkRFH,mm²,0,Area of Filtered Dark of RFH.
areaFiltDarkRFL,mm²,0,Area of Filtered Dark of RFL.
areaFiltDarkTFB,mm²,0,Area of Filtered Dark of TFB.
areaFiltRFDD,mm²,0,Area of Filtered Video of RFDD.
areaFiltRFDD_E,mm²,0,Area of Filtered Video of RFDD_E.
areaFiltRFH,mm²,0,Area of Filtered Video of RFH.
areaFiltRFL,mm²,0,Area of Filtered Video of RFL.
areaFiltTFB,mm²,0,Area of Filtered Video of TFB.
areaInedgeBrightRFDD,mm²,0,Area of Inner Edge Bright of RFDD.
areaInedgeBrightRFDD_E,mm²,0,Area of Inner Edge Bright of RFDD_E.
areaInedgeBrightRFH,mm²,0,Area of Inner Edge Bright of RFH.
areaInedgeBrightRFL,mm²,0,Area of Inner Edge Bright of RFL.
areaInedgeBrightRR,mm²,0,Area of Inner Edge Bright of RR.
areaInedgeBrightRRDD,mm²,0,Area of Inner Edge Bright of RRDD.
areaInedgeBrightTFB,mm²,0,Area of Inner Edge Bright of TFB.
areaInedgeBrightTRB,mm²,0,Area of Inner Edge Bright of TRB.
areaInedgeBrightTRBH,mm²,0,Area of Inner Edge Bright of TRBH.
areaInedgeDarkRFDD,mm²,0,Area of Inner Edge Dark of RFDD.
areaInedgeDarkRFDD_E,mm²,0,Area of Inner Edge Dark of RFDD_E.
areaInedgeDarkRFH,mm²,0,Area of Inner Edge Dark of RFH.
areaInedgeDarkRFL,mm²,0,Area of Inner Edge Dark of RFL.
areaInedgeDarkRR,mm²,0,Area of Inner Edge Dark of RR.
areaInedgeDarkRRDD,mm²,0,Area of Inner Edge Dark of RRDD.
areaInedgeDarkTFB,mm²,0,Area of Inner Edge Dark of TFB.
areaInedgeDarkTRB,mm²,0,Area of Inner Edge Dark of TRB.
areaInedgeDarkTRBH,mm²,0,Area of Inner Edge Dark of TRBH.
areaOutedgeBrightRFDD,mm²,0,Area of Outer Edge Bright of RFDD.
areaOutedgeBrightRFDD_E,mm²,0,Area of Outer Edge Bright of RFDD_E.
areaOutedgeBrightRFH,mm²,0,Area of Outer Edge Bright of RFH.
areaOutedgeBrightRFL,mm²,0,Area of Outer Edge Bright of RFL.
areaOutedgeBrightRR,mm²,0,Area of Outer Edge Bright of RR.
areaOutedgeBrightRRDD,mm²,0,Area of Outer Edge Bright of RRDD.
areaOutedgeBrightTFB,mm²,0,Area of Outer Edge Bright of TFB.
areaOutedgeBrightTRB,mm²,0,Area of Outer Edge Bright of TRB.
areaOutedgeBrightTRBH,mm²,0,Area of Outer Edge Bright of TRBH.
areaOutedgeDarkRFDD,mm²,0,Area of Outer Edge Dark of RFDD.
areaOutedgeDarkRFDD_E,mm²,0,Area of Outer Edge Dark of RFDD_E.
areaOutedgeDarkRFH,mm²,0,Area of Outer Edge Dark of RFH.
areaOutedgeDarkRFL,mm²,0,Area of Outer Edge Dark of RFL.
areaOutedgeDarkRR,mm²,0,Area of Outer Edge Dark of RR.
areaOutedgeDarkRRDD,mm²,0,Area of Outer Edge Dark of RRDD.
areaOutedgeDarkTFB,mm²,0,Area of Outer Edge Dark of TFB.
areaOutedgeDarkTRB,mm²,0,Area of Outer Edge Dark of TRB.
areaOutedgeDarkTRBH,mm²,0,Area of Outer Edge Dark of TRBH.
areaPrepBrightRFDD,mm²,0,Area of Preprocessed Bright of RFDD.
areaPrepBrightRFDD_E,mm²,0,Area of Preprocessed Bright of RFDD_E.
areaPrepBrightRFH,mm²,0,Area of Preprocessed Bright of RFH.
areaPrepBrightRFL,mm²,0,Area of Preprocessed Bright of RFL.
areaPrepBrightRR,mm²,0,Area of Preprocessed Bright of RR.
areaPrepBrightRRDD,mm²,0,Area of Preprocessed Bright of RRDD.
areaPrepBrightTFB,mm²,0,Area of Preprocessed Bright of TFB.
areaPrepBrightTRB,mm²,0,Area of Preprocessed Bright of TRB.
areaPrepBrightTRBH,mm²,0,Area of Preprocessed Bright of TRBH.
areaPrepDarkRFDD,mm²,0,Area of Preprocessed Dark of RFDD.
areaPrepDarkRFDD_E,mm²,0,Area of Preprocessed Dark of RFDD_E.
areaPrepDarkRFH,mm²,0,Area of Preprocessed Dark of RFH.
areaPrepDarkRFL,mm²,0,Area of Preprocessed Dark of RFL.
areaPrepDarkRR,mm²,0,Area of Preprocessed Dark of RR.
areaPrepDarkRRDD,mm²,0,Area of Preprocessed Dark of RRDD.
areaPrepDarkTFB,mm²,0,Area of Preprocessed Dark of TFB.
areaPrepDarkTRB,mm²,0,Area of Preprocessed Dark of TRB.
areaPrepDarkTRBH,mm²,0,Area of Preprocessed Dark of TRBH.
areaPrepRFDD,mm²,0,Area of Preprocessed Video of RFDD.
areaPrepRFDD_E,mm²,0,Area of Preprocessed Video of RFDD_E.
areaPrepRFH,mm²,0,Area of Preprocessed Video of RFH.
areaPrepRFL,mm²,0,Area of Preprocessed Video of RFL.
areaPrepRR,mm²,0,Area of Preprocessed Video of RR.
areaPrepRRDD,mm²,0,Area of Preprocessed Video of RRDD.
areaPrepTFB,mm²,0,Area of Preprocessed Video of TFB.
areaPrepTRB,mm²,0,Area of Preprocessed Video of TRB.
areaPrepTRBH,mm²,0,Area of Preprocessed Video of TRBH.
areaSub1FiltBrightRFDD,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of RFDD
areaSub1FiltBrightRFH,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of RFH
areaSub1FiltBrightRFL,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of RFL
areaSub1FiltBrightTFB,mm²,0,Area of the 1th largest subblob-fragment of Filtered Bright of TFB
areaSub1FiltDarkRFDD,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of RFDD
areaSub1FiltDarkRFH,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of RFH
areaSub1FiltDarkRFL,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of RFL
areaSub1FiltDarkTFB,mm²,0,Area of the 1th largest subblob-fragment of Filtered Dark of TFB
areaSub1InedgeBrightRFDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RFDD
areaSub1InedgeBrightRFH,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RFH
areaSub1InedgeBrightRFL,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RFL
areaSub1InedgeBrightRR,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RR
areaSub1InedgeBrightRRDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of RRDD
areaSub1InedgeBrightTFB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of TFB
areaSub1InedgeBrightTRB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of TRB
areaSub1InedgeBrightTRBH,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Bright of TRBH
areaSub1InedgeDarkRFDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RFDD
areaSub1InedgeDarkRFH,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RFH
areaSub1InedgeDarkRFL,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RFL
areaSub1InedgeDarkRR,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RR
areaSub1InedgeDarkRRDD,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of RRDD
areaSub1InedgeDarkTFB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of TFB
areaSub1InedgeDarkTRB,mm²,0,Area of the 1th largest subblob-fragment of Inner Edge Dark of TRB
