Name,Unit,Default,Description
AA_IA_Area,,0,Result 0 = Active Area 1 = Ink Area
AA_IA_Area_Scratch,,0,Result 0 = Scratch completely inside Ink Area 1 = Scratch reaches into AA or is within AA
AreaConvexHull100,mm²,0,area of convex hull
CdCentroidRFDD,mm,0,Centroid of RFDD bright and/or dark in CD direction
CdCentroidRFH,mm,0,Centroid of RFH bright and/or dark in CD direction
CdCentroidRFL,mm,0,Centroid of RFL bright and/or dark in CD direction
CdCentroidRR,mm,0,Centroid of RR bright and/or dark in CD direction
CdCentroidTFB,mm,0,Centroid of TFB bright and/or dark in CD direction
CdCentroidTRB,mm,0,Centroid of TRB bright and/or dark in CD direction
CdMaxRFDD,mm,0,CD max coordinate of RFDD
CdMaxRFH,mm,0,CD max coordinate of RFH
CdMaxRFL,mm,0,CD max coordinate of RFL
CdMaxRRDD,mm,0,CD max coordinate of RRDD
CdMaxTFB,mm,0,CD max coordinate of TFB
CdMinRFDD,mm,0,CD min coordinate of RFDD
CdMinRFH,mm,0,CD min coordinate of RFH
CdMinRFL,mm,0,CD min coordinate of RFL
CdMinRRDD,mm,0,CD min coordinate
CdMinTFB,mm,0,CD min coordinate of TFB
CompactnessDarkRFH,,0,"Contour length^2 over area RFH Dark (squared) length/100 -> pixel length in area, usually normalized contour (circle = 1)"
CompactnessDarkTFB_Pkj,,0,
CompactnessFiltRFH,,0,Contour length^2 over area TFB test(squared) length/100 -> pixel length in area
CompactnessRFDD,,0,Contour length^2 over area RFDD Bright (squared) length/100 -> pixel length in area
CompactnessRFL,,0,Contour length^2 over area RFL Bright + Dark (squared) length/100 -> pixel length in area
ContrastGrayAreaDarkBrightRFH,,0,ratio of gray value * area RFH Dark over Bright
ContrastGrayDarkBrightRFH,,0,ratio of gray value RFH Dark over Bright
ContrastGrayDarkBrightRFL,,0,ratio of gray value RFL Dark over Bright
ContrastGrayDarkRFH,,0,contrast of gray value RFH Dark
ContrastGrayDarkRFL,,0,contrast of gray value RFL Dark
ContrastRFL,,0,just a tweak since thre is no RFH channel
DarkBrightRFH,,0,dark and bright in RFH
DarkBrightRFL,,0,dark and bright in RFL
DarkBrightTFB,,0,dark and bright in TFB
EdgeDist,mm,0,"distance to nearest edge (rough estimate). Beauty is, that it works for any channel."
FillgradeBrightRFDD,,0,Fillgrade of the channel RFDD bright area
FillgradeBrightRFH,,0,Fillgrade of the channel RFH bright area
FillgradeBrightRFL,,0,Fillgrade of the channel RFL bright area
FillgradeBrightTFB,,0,Fillgrade of the channel TFB bright area
FillgradeConvexRFDD,,0,Fillgrade Convex Hull of RFDD
